2.06 3107.81 9.9204
2.07 3126.42 9.98266
2.08 3144.31 10.0076
2.09 3162.36 10.0327
2.1 3181.29 10.0522
2.11 3199.97 10.0883
2.12 3218.26 10.1288
2.13 3238.1 10.1595
2.14 3257.39 10.2212
2.15 3275.94 10.2656
2.16 3294.59 10.312
2.17 3313.9 10.3851
2.18 3332.54 10.4435
2.19 3350.61 10.4921
2.2 3369.31 10.5087
2.21 3388.58 10.5471
2.22 3407.71 10.6021
2.23 3426.56 10.6595
2.24 3446.03 10.7353
2.25 3465.28 10.8162
2.26 3484.05 10.8389
2.27 3501.25 10.8431
2.28 3519.3 10.922
2.29 3537.96 10.9776
2.3 3556.15 11.0015
2.31 3574.94 11.0272
2.32 3593.2 11.0628
2.33 3611.45 11.1509
2.34 3629.44 11.2085
2.35 3647.77 11.2627
2.36 3665.89 11.3192
2.37 3683.84 11.3876
2.38 3701.45 11.4167
2.39 3718.99 11.5002
2.4 3736.65 11.5516
2.41 3754.22 11.6038
2.42 3772.4 11.6755
2.43 3790.66 11.7254
2.44 3809.14 11.7822
2.45 3828.11 11.8347
2.46 3847.15 11.8477
2.47 3867.56 11.9047
2.48 3887.56 11.9755
2.49 3906.52 12.0111
2.5 3925.05 12.0489
2.51 3944.28 12.0889
2.52 3963.47 12.1699
2.53 3982.15 12.2396
2.54 4001.65 12.2949
2.55 4019.22 12.3747
2.56 4037.76 12.46
2.57 4056.48 12.5002
2.58 4074.11 12.5497
2.59 4092.1 12.5846
2.6 4110.97 12.6658
2.61 4129.96 12.7076
2.62 4149.39 12.7337
2.63 4168.12 12.7693
2.64 4186.95 12.7962
2.65 4204.28 12.8887
2.66 4221.69 12.934
2.67 4240.82 12.9803
2.68 4259.58 13.0297
2.69 4277.3 13.1115
2.7 4295.2 13.1449
2.71 4313.45 13.1719
2.72 4332.64 13.195
2.73 4351.82 13.2627
2.74 4369.55 13.2716
2.75 4387.63 13.3185
2.76 4406.43 13.3748
2.77 4425.06 13.4451
2.78 4445.04 13.507
2.79 4465.94 13.5073
2.8 4484.75 13.573
2.81 4503.38 13.6198
2.82 4523.13 13.7033
2.83 4542.85 13.7769
2.84 4562.63 13.7967
